,企業名,給与
33,株式会社メディオテクノ | #月8～10日休(完全週休2日)#若手活躍中#退職者は3年間ゼロ,"■月給26万円〜31万円(一律各種手当含む)＋稼動インセンティブ ※試用期間中(3ヶ月) 月給25万9,500円(イ…"
34,益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,"月給 212,500円 〜 417,000円＋賞与年2回（昨年度実績3カ月分） ※スキル・経験を考慮の上、当社規定に…"
35,株式会社リロパートナーズ | 【リログループ】※(株)トキオランディックスへの出向です。,"月給251,000円以上＋賞与年2回＋報奨金 ※経験・年齢を考慮の上、 　当社規定に基づき決定します。 ※給…"
36,株式会社アキュラホーム,【固定月給】23万〜40.8万円 ※月30時間分の見込み残業手当（5万円〜7万5000円）含む 　超過分は別途支…
37,株式会社アキュラホーム | 「グッドデザイン賞」9年連続受賞,"【月給】470,000〜630,000円 ※試用期間：3ヶ月（処遇に変動はありません） ※給与は、経験・能力を総合…"
38,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,"■月給21万円〜25万円＋業績給＋賞与年2回（基本給4ヵ月分） ※固定残業代（30時間分・3万9,400円〜）含…"
39,有限会社グリーンアンドハウス | ★【無垢スタイル建築設計】のグループ会社として安定経営,月給25万円〜65万円＋評価給 ※前給・経験・実績・能力等を考慮の上、優遇いたします 。 ※研修期間3ヶ月…
40,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…"
41,株式会社モリシン電気設備 | 週休2日／皆勤・家族手当など完備【大阪府緊急雇用対策に賛同】,月給30万円〜＋諸手当＋賞与年2回 ★前職給与を保証！★ 「給与が下がるかもしれないし、 　転職するの…
42,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,"月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…"
43,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,月給20万円〜50万円（一律手当含む） ※上記月給は、経験、能力、年齢に応じて決定します。 ※経験者は前…
44,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,◆月給：35万円以上+インセンティブ ◎経験・スキルに応じて優遇します。 ◎案件数に応じてインセンティ…
45,株式会社エコ・エー | 【環境職人】★寮完備（月3万円）★残業月10ｈ・直行直帰OK,日給1万3000円〜1万7000円 【収入例】月収29万9000円（未経験１ヶ月目） 未経験でも日給1万3000円×23日…
46,株式会社京進 | 東証二部上場,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
47,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,月給25万円〜＋インセンティブ ※研修期間あり（1〜6ヶ月） └期間中の給与は、【月給23万円＋インセンテ…
48,株式会社サンゲル | 注目を集めるエコ商材を扱うスタートアップ企業｜残業少なめ,月給23万円(一律手当含む)〜+ 歩合給 + 各種手当 ★待遇条件の詳細については、面接でご相談ください！ …
49,株式会社エス・ビルド | ★未経験可 ★新規営業一切ナシ ★大手企業との取引多数 etc,"【東京】月給251,666円〜+賞与年2回+インセンティブ 【大阪】月給231,666円〜+賞与年2回+インセンティブ …"
